,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speeds
478,Berlevag,70.86,29.09,32.99,100,0,3.36
479,Severo-Yeniseyskiy,60.37,93.04,37.19,90,36,2.59
480,Invermere,50.51,-116.03,46.46,63,68,1.36
481,Magrath,49.42,-112.86,64.4,31,75,9.17
482,Aswan,24.09,32.9,86.96,32,0,12.1
483,Ballina,54.11,-9.15,57.89,96,88,11.77
484,Pochutla,15.74,-96.47,87.8,62,40,8.05
485,Kifri,34.69,44.96,67.07,28,0,2.93
486,Olga,34.11,-118.17,82.42,70,75,11.41
487,Tual,-5.67,132.75,80.12,100,24,14.9
488,Semey,50.41,80.25,45.2,85,0,2.59
489,Pointe Michel,15.25,-61.38,85.87,52,20,9.17
490,Kavaratti,10.57,72.64,83.0,100,48,9.98
491,Kimry,56.88,37.35,44.57,97,92,30.44
492,Tepetzintla,21.16,-97.85,81.56,100,64,6.96
493,Haines Junction,60.75,-137.51,42.95,54,80,2.59
494,Port Keats,-14.25,129.55,74.45,70,8,9.31
495,Agara,42.04,43.82,50.87,89,92,2.93
496,Waingapu,-9.65,120.26,66.08,93,0,4.94
497,Jertih,5.74,102.5,77.0,94,75,2.24
498,Channel-Port aux Basques,47.57,-59.14,55.46,89,100,30.67
499,Manyana,-35.26,150.51,42.8,100,20,11.41
500,Shenzhen,22.54,114.05,78.17,74,40,4.7
501,Pontianak,-0.02,109.34,75.8,100,56,3.38
502,Ulaangom,49.98,92.07,27.38,68,44,3.71
503,Pathein,16.78,94.73,76.79,95,56,2.93
504,Berdigestyakh,62.1,126.7,33.5,86,0,2.37
505,Tamworth,-31.09,150.93,46.4,81,12,6.93
506,La Roche-en-Ardenne,50.18,5.58,50.34,54,0,2.24
507,Husavik,50.56,-96.99,43.22,100,92,6.4
508,Mosquera,4.71,-74.23,62.6,59,40,6.93
509,Mamallapuram,12.63,80.17,84.2,79,40,6.93
510,Blythe,33.61,-114.59,103.52,12,0,4.83
511,Betare Oya,5.6,14.08,70.22,91,36,3.71
512,Ouadda,8.07,22.4,67.61,96,32,4.27
513,Gordeyevka,52.96,31.97,46.55,56,92,19.04
514,Pangody,65.85,74.49,56.36,74,88,16.58
515,Acapulco,16.86,-99.88,86.0,74,40,12.75
516,Mandalgovi,45.76,106.27,40.88,81,0,14.9
517,Mujiayingzi,42.12,118.78,40.79,98,44,4.72
518,Tehachapi,35.13,-118.45,90.63,12,1,10.29
519,Moberly,39.42,-92.44,64.56,42,1,6.93
520,Cecava,44.69,17.77,41.0,93,0,3.36
521,Mount Isa,-20.73,139.49,71.6,15,12,10.29
522,Bonfim,-20.33,-44.24,82.4,34,0,8.05
523,Weiser,44.25,-116.97,69.98,24,1,3.6
524,Maceio,-9.67,-35.74,78.8,69,20,11.41
525,Prince Rupert,54.32,-130.32,53.6,100,90,11.41
526,Lagunas,-5.23,-75.68,86.78,69,12,2.71
527,Saint Anthony,43.97,-111.68,62.65,5,1,12.75
528,Black Diamond,50.69,-114.23,58.1,41,90,4.7
529,Kungurtug,50.6,97.53,33.14,93,92,7.74
530,Ryazhsk,53.71,40.06,39.26,66,24,13.78
531,Ezhou,30.41,114.88,67.97,92,68,8.75
532,Muyezerskiy,63.93,31.65,42.41,100,92,7.85
533,Ust-Barguzin,53.41,109.03,41.87,100,92,3.38
534,Huarmey,-10.07,-78.15,73.55,50,0,4.27
535,Kabo,7.69,18.62,70.31,97,68,9.31
536,Parana,-7.52,-72.89,95.0,44,75,5.82
537,Fenoarivo Atsinanana,-17.38,49.41,65.9,98,68,1.92
538,Necochea,-38.55,-58.74,50.69,74,92,14.34
539,La Libertad,-16.38,-71.56,69.8,15,0,11.41
540,Matata,-37.89,176.76,53.84,100,0,7.18
541,Esparta,15.74,-87.18,86.0,74,75,2.24
542,Lar,27.66,54.32,78.8,57,0,4.7
543,Nhulunbuy,-12.18,136.78,68.0,94,40,13.78
544,Ipameri,-17.72,-48.16,87.86,24,0,6.29
545,Igrim,63.19,64.42,54.74,57,24,10.2
